ticker,company_name,year_end,fiscal_year,filing_date,accession_number,total_assets,assets_current,cash,accounts_receivable_net,inventory_net,prepaid_expense_current,ppe_net,other_assets_noncurrent,liabilities_current,stockholders_equity,net_income,goodwill,intangibles_net,total_liabilities,assets_noncurrent,liabilities_noncurrent,marketable_securities
AVAV,AeroVironment Inc,2012-04-30,2012,2012-06-27,0001047469-12-006915,369151000,281769000.0,64220000.0,56417000.0,43539000.0,4030000.0,23515000.0,201000.0,63705000.0,299198000,30451000,,,,,,
AVAV,AeroVironment Inc,2013-04-30,2013,2013-06-26,0001047469-13-007199,363465000,263454000.0,75332000.0,19770000.0,62561000.0,4303000.0,24429000.0,1060000.0,42187000.0,315186000,10426000,,,,,,
AVAV,AeroVironment Inc,2014-04-30,2014,2014-07-09,0001047469-14-006076,384954000,306857000.0,126969000.0,31739000.0,50699000.0,4260000.0,19997000.0,874000.0,37735000.0,342467000,13718000,,,,,,
AVAV,AeroVironment Inc,2015-04-30,2015,2015-07-01,0001047469-15-005880,397467000,329032000.0,143410000.0,33607000.0,39414000.0,4599000.0,13499000.0,741000.0,46735000.0,348912000,2895000,,,,,,
AVAV,AeroVironment Inc,2016-04-30,2016,2016-06-29,0001558370-16-006514,410393000,349703000.0,124287000.0,56045000.0,37486000.0,4150000.0,16762000.0,750000.0,46345000.0,361260000,8966000,,,,,,
AVAV,AeroVironment Inc,2017-04-30,2017,2017-06-28,0001558370-17-004963,432500000,354085000.0,79904000.0,74361000.0,60076000.0,5653000.0,19220000.0,2010000.0,48063000.0,381954000,12457000,122000.0,,,,,
AVAV,AeroVironment Inc,2018-04-30,2018,2018-06-27,0001558370-18-005457,472911000,399147000.0,143517000.0,56813000.0,38640000.0,5103000.0,19219000.0,2721000.0,60497000.0,410117000,19852000,,,,,,
AVAV,AeroVironment Inc,2019-04-30,2019,2019-06-26,0001558370-19-005898,508844000,469588000.0,172708000.0,31051000.0,54056000.0,7418000.0,16905000.0,6280000.0,44866000.0,462571000,47419000,,,,,,
AVAV,AeroVironment Inc,2020-04-30,2020,2020-06-24,0001558370-20-007720,584954000,503927000.0,255142000.0,73660000.0,45535000.0,6246000.0,21694000.0,10605000.0,66953000.0,509901000,41070000,6340000.0,13637000.0,,,,
AVAV,AeroVironment Inc,2021-04-30,2021,2021-06-29,0001558370-21-008684,928566000,401638000.0,148741000.0,62647000.0,71646000.0,15001000.0,58896000.0,10440000.0,96185000.0,612093000,23345000,314205000.0,106268000.0,,,,
AVAV,AeroVironment Inc,2022-04-30,2022,2022-06-29,0001558370-22-010392,914200000,368909000.0,77231000.0,60170000.0,90629000.0,11527000.0,62296000.0,1932000.0,101391000.0,607969000,-4185000,334347000.0,97224000.0,,,,
AVAV,AeroVironment Inc,2023-04-30,2023,2023-06-28,0001558370-23-011469,824577000,477002000.0,132859000.0,87633000.0,138814000.0,12043000.0,39795000.0,5220000.0,121334000.0,550970000,-176167000,180801000.0,43577000.0,,,,
AVAV,AeroVironment Inc,2024-04-30,2024,2024-06-27,0001558370-24-009515,1015860000,515581000.0,73301000.0,70305000.0,150168000.0,22333000.0,46602000.0,13505000.0,144879000.0,822745000,59666000,275652000.0,72224000.0,,,,
AVAV,AeroVironment Inc,2025-04-30,2025,2025-06-25,0001558370-25-008838,1120567000,606516000.0,40862000.0,101967000.0,144090000.0,28966000.0,50704000.0,32889000.0,172161000.0,886507000,43619000,256781000.0,48711000.0,,,,
BAH,Booz Allen Hamilton Holding Corp,2012-03-31,2012,2012-05-30,0001193125-12-253723,3314791000,1657663000.0,484368000.0,1077315000.0,,,191079000.0,46421000.0,914446000.0,1185185000,239955000,1188004000.0,223834000.0,2129606000.0,,,
BAH,Booz Allen Hamilton Holding Corp,2013-03-31,2013,2013-05-23,0001443646-13-000010,3177528000,1424352000.0,350384000.0,1029586000.0,,,166570000.0,62985000.0,964646000.0,226793000,219058000,1277369000.0,236220000.0,2950735000.0,,,
BAH,Booz Allen Hamilton Holding Corp,2014-03-31,2014,2014-05-22,0001443646-14-000015,2940818000,1255977000.0,259994000.0,916737000.0,,49559000.0,129427000.0,60738000.0,917104000.0,171636000,232188000,1273789000.0,220887000.0,2769182000.0,,,
BAH,Booz Allen Hamilton Holding Corp,2015-03-31,2015,2015-05-21,0001443646-15-000018,2877493000,1163208000.0,207217000.0,857310000.0,,84142000.0,111367000.0,64547000.0,848994000.0,186498000,232569000,1304231000.0,219382000.0,2690995000.0,,,
BAH,Booz Allen Hamilton Holding Corp,2016-03-31,2016,2016-05-19,0001443646-16-000138,3010171000,1189771000.0,187529000.0,892289000.0,,109953000.0,130169000.0,85606000.0,939913000.0,408488000,294094000,1361913000.0,220658000.0,2601683000.0,,,
BAH,Booz Allen Hamilton Holding Corp,2017-03-31,2017,2017-05-22,0001443646-17-000050,3373105000,1294480000.0,217417000.0,991810000.0,,85253000.0,139167000.0,85563000.0,1101401000.0,573591000,252490000,1571190000.0,271880000.0,2799514000.0,,,
BAH,Booz Allen Hamilton Holding Corp,2018-03-31,2018,2018-05-29,0001443646-18-000100,3603366000,1488719000.0,286958000.0,1130452000.0,,71309000.0,169896000.0,102633000.0,1036166000.0,554628000,305111000,1581146000.0,260972000.0,3048738000.0,,,
BAH,Booz Allen Hamilton Holding Corp,2019-03-31,2019,2019-05-28,0001443646-19-000093,3831841000,1699340000.0,283990000.0,1330364000.0,,84986000.0,172453000.0,91837000.0,1179239000.0,675366000,418529000,1581160000.0,287051000.0,3156475000.0,,,
BAH,Booz Allen Hamilton Holding Corp,2020-03-31,2020,2020-05-26,0001443646-20-000086,4793966000,2328188000.0,741901000.0,1459471000.0,,126816000.0,208077000.0,135432000.0,1327678000.0,856356000,482603000,1581160000.0,300987000.0,3937610000.0,,,
BAH,Booz Allen Hamilton Holding Corp,2021-03-31,2021,2021-05-21,0001443646-21-000079,5499601000,2636172000.0,990955000.0,1411894000.0,,233323000.0,204642000.0,531125000.0,1291105000.0,1071176000,608958000,1581160000.0,307128000.0,4428425000.0,,,
BAH,Booz Allen Hamilton Holding Corp,2022-03-31,2022,2022-05-20,0001443646-22-000058,6025575000,2445676000.0,695910000.0,1622989000.0,,126777000.0,202229000.0,481826000.0,1533954000.0,1046070000,466740000,2021931000.0,646682000.0,4978854000.0,,,
BAH,Booz Allen Hamilton Holding Corp,2023-03-31,2023,2023-05-26,0001443646-23-000089,6550652000,2288058000.0,404862000.0,1774830000.0,,108366000.0,195186000.0,281816000.0,1897054000.0,992002000,271791000,2338399000.0,685615000.0,5558650000.0,,,
BAH,Booz Allen Hamilton Holding Corp,2024-03-31,2024,2024-05-24,0001443646-24-000075,6563688000,2738909000.0,554257000.0,2047342000.0,,137310000.0,188279000.0,290152000.0,1692190000.0,1046562000,605706000,2343789000.0,601043000.0,5517126000.0,,,
BAH,Booz Allen Hamilton Holding Corp,2025-03-31,2025,2025-05-23,0001443646-25-000076,7312000000,3313000000.0,885000000.0,2271000000.0,,157000000.0,177000000.0,344000000.0,1846000000.0,1003000000,935000000,2405000000.0,563000000.0,6309000000.0,,,
CACI,CACI INTERNATIONAL INC /DE/,2011-06-30,2011,2011-08-29,0001193125-11-234902,2320131000,782078000.0,164817000.0,573042000.0,,28139000.0,62755000.0,25374000.0,437221000.0,1309616000,144218000,1266285000.0,108102000.0,1010515000.0,1538053000.0,,
CACI,CACI INTERNATIONAL INC /DE/,2012-06-30,2012,2012-08-28,0001193125-12-371503,2392876000,685792000.0,15740000.0,628842000.0,,24463000.0,67449000.0,30553000.0,484929000.0,1161995000,167454000,1406953000.0,114816000.0,1228431000.0,1707084000.0,,
CACI,CACI INTERNATIONAL INC /DE/,2013-06-30,2013,2013-08-27,0001193125-13-348088,2501265000,727975000.0,64337000.0,614616000.0,,25875000.0,65510000.0,31878000.0,742494000.0,1204903000,151689000,1476965000.0,104188000.0,1293693000.0,1773290000.0,,
CACI,CACI INTERNATIONAL INC /DE/,2014-06-30,2014,2014-08-28,0001193125-14-325463,3359138000,735849000.0,64461000.0,615580000.0,,33114000.0,68485000.0,38646000.0,422587000.0,1356883000,135316000,2188569000.0,230410000.0,1999972000.0,2623289000.0,,
CACI,CACI INTERNATIONAL INC /DE/,2015-06-30,2015,2015-08-21,0001564590-15-007527,3257116000,676460000.0,35364000.0,596155000.0,,34591000.0,63689000.0,34769000.0,399681000.0,1480137000,126195000,2189816000.0,195182000.0,1776844000.0,2580656000.0,,
CACI,CACI INTERNATIONAL INC /DE/,2016-06-30,2016,2016-08-24,0001564590-16-024672,3987341000,921838000.0,49082000.0,803817000.0,,68939000.0,81362000.0,25159000.0,565176000.0,1607178000,142799000,2585343000.0,275372000.0,2380028000.0,3065503000.0,,
CACI,CACI INTERNATIONAL INC /DE/,2017-06-30,2017,2017-08-21,0001564590-17-017873,3911082000,879902000.0,65539000.0,757341000.0,,57022000.0,91749000.0,27372000.0,526744000.0,1793586000,163671000,2577435000.0,,2117361000.0,3031180000.0,,
