ticker,cik
NVDA,0001045810
AAPL,0000320193
GOOGL,0001652044
MSFT,0000789019
AMZN,0001018724
AVGO,0001730168
META,0001326801
TSLA,0001318605
BRK-B,0001067983
WMT,0000104169
LLY,0000059478
JPM,0000019617
XOM,0000034088
SPY,0000884394
JNJ,0000200406
V,0001403161
ASML,0000937966
MA,0001141391
COST,0000909832
ORCL,0001341439
CVX,0000093410
NFLX,0001065280
ABBV,0001551152
MU,0000723125
CYATY,0002070829
PLTR,0001321655
BAC,0000070858
PG,0000080424
AMD,0000002488
CAT,0000018230
HD,0000354950
KO,0000021344
CSCO,0000858877
AZN,0000901832
BABA,0001577552
GE,0000040545
MRK,0000310158
NVS,0001114448
HSBC,0001089113
AMAT,0000006951
TM,0001094517
LRCX,0000707549
SHEL,0001306965
MS,0000895421
RTX,0000101829
PM,0001413329
GS,0000886982
WFC,0000072971
UNH,0000731766
GEV,0001996810
TMUS,0001283699
LIN,0001707925
IBM,0000051143
QQQ,0001067839
RY,0001000275
MCD,0000063908
INTC,0000050863
PEP,0000077476
VZ,0000732712
AXP,0000004962
T,0000732717
SAP,0001000184
C,0000831001
TTE,0000879764
NEE,0000753308
KLAC,0000319201
MUFG,0000067088
RTNTF,0000887028
AMGN,0000318154
BHP,0000811809
TMO,0000097745
DTEGY,0000946770
ABT,0000001800
TJX,0000109198
TXN,0000097476
CRM,0001108524
GILD,0000882095
DIS,0001744489
SCHW,0000316709
SAN,0000891478
NVO,0000353278
ISRG,0001035267
COP,0001163165
ARM,0001973239
PFE,0000078003
TD,0000947263
BA,0000012927
ADI,0000006281
ANET,0001596532
APH,0000820313
SHOP,0001594805
DE,0000315189
RIO,0000863064
BLK,0002012383
UBER,0001543151
PDD,0001737806
UNP,0000100885
HON,0000773840
SCCO,0001001838
BX,0001393818
LMT,0000936468
ETN,0001551182
WELL,0000766704
QCOM,0000804328
BKNG,0001075531
BUD,0001668717
APP,0001751008
DHR,0000313616
PBR,0001119639
LOW,0000060667
PANW,0001327567
UTX,0002046954
HTHIY,0000047710
SPGI,0000064040
