ticker,n_periods,assets_current,eps_diluted,liabilities_current,net_income,operating_cash_flow,operating_income,stockholders_equity,total_assets,total_liabilities
AAPL,20,0.9,0.95,0.9,0.95,0.9,0.95,1.0,0.9,0.9
ABBV,15,0.9333333333333333,1.0,0.9333333333333333,0.8,0.6,1.0,0.9333333333333333,0.9333333333333333,0.0
AMAT,20,0.9,0.95,0.9,0.95,0.95,0.95,1.0,0.9,0.9
AMD,19,0.8947368421052632,0.9473684210526315,0.8947368421052632,0.9473684210526315,0.9473684210526315,0.9473684210526315,1.0,0.8947368421052632,0.0
AMZN,20,0.9,0.95,0.9,0.95,0.95,0.95,1.0,0.9,0.0
AVGO,11,0.8181818181818182,0.9090909090909091,0.8181818181818182,0.9090909090909091,0.9090909090909091,0.9090909090909091,1.0,0.8181818181818182,0.8181818181818182
CAT,23,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.5652173913043478,0.8260869565217391,1.0,0.8260869565217391,0.8260869565217391
COST,19,0.8947368421052632,0.8947368421052632,0.8947368421052632,0.9473684210526315,0.8421052631578947,0.9473684210526315,1.0,0.9473684210526315,0.8947368421052632
CSCO,20,0.85,0.9,0.85,0.9,0.8,0.9,0.95,0.9,0.85
CVX,19,0.9473684210526315,1.0,0.9473684210526315,1.0,1.0,0.0,1.0,0.9473684210526315,0.9473684210526315
GE,20,0.35,0.95,0.35,0.95,0.95,0.3,1.0,0.9,0.9
GOOGL,14,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.9285714285714286,0.9285714285714286,0.9285714285714286,1.0,0.8571428571428571,0.7857142857142857
HD,20,0.9,0.95,0.9,0.95,0.95,0.95,1.0,0.9,0.9
JNJ,20,0.9,0.95,0.9,0.95,0.95,0.3,1.0,0.9,0.9
KO,20,0.9,0.95,0.9,0.95,0.95,0.95,1.0,0.9,0.0
LLY,19,0.9473684210526315,0.9473684210526315,0.9473684210526315,1.0,1.0,0.0,0.9473684210526315,0.9473684210526315,0.0
MA,20,0.9,0.95,0.9,0.95,0.95,0.95,1.0,0.9,0.9
META,19,0.7894736842105263,0.8421052631578947,0.7894736842105263,0.8421052631578947,0.8421052631578947,0.8421052631578947,0.7894736842105263,0.9473684210526315,0.9473684210526315
MRK,20,0.9,0.95,0.9,0.95,0.9,0.0,1.0,0.9,0.0
MSFT,18,0.9444444444444444,1.0,0.9444444444444444,1.0,0.8888888888888888,1.0,1.0,0.9444444444444444,0.8888888888888888
MU,18,0.8888888888888888,0.9444444444444444,0.8888888888888888,0.9444444444444444,0.8333333333333334,0.9444444444444444,1.0,0.8888888888888888,0.8888888888888888
NFLX,20,0.9,0.95,0.9,0.95,0.95,0.95,1.0,0.9,0.9
NVDA,20,0.9,0.95,0.9,0.95,0.95,0.95,1.0,0.9,0.6
ORCL,19,0.8947368421052632,0.9473684210526315,0.8947368421052632,0.9473684210526315,0.8421052631578947,0.9473684210526315,1.0,0.8947368421052632,0.0
PG,19,0.8947368421052632,0.9473684210526315,0.8947368421052632,0.9473684210526315,0.9473684210526315,0.9473684210526315,1.0,0.9473684210526315,0.8947368421052632
PLTR,9,0.7777777777777778,0.8888888888888888,0.7777777777777778,0.8888888888888888,0.8888888888888888,0.8888888888888888,1.0,0.7777777777777778,0.7777777777777778
TSLA,18,0.8888888888888888,0.6111111111111112,0.8888888888888888,0.9444444444444444,0.8333333333333334,0.9444444444444444,1.0,0.8888888888888888,0.8888888888888888
V,20,0.9,0.0,0.9,0.95,0.95,0.95,1.0,0.9,0.9
WMT,20,0.9,0.95,0.9,0.95,0.95,0.95,1.0,0.9,0.0
XOM,20,0.9,0.95,0.9,0.95,0.85,0.0,1.0,0.9,0.9
