ticker,n_periods,assets_current,eps_diluted,liabilities_current,net_income,operating_cash_flow,operating_income,stockholders_equity,total_assets,total_liabilities
AAPL,49,0.9387755102040817,1.0,0.9387755102040817,1.0,0.32653061224489793,1.0,0.9387755102040817,0.9387755102040817,0.9387755102040817
ABBV,42,0.9285714285714286,1.0,0.9285714285714286,0.7380952380952381,0.23809523809523808,1.0,0.9285714285714286,0.9285714285714286,0.0
AMAT,46,0.9347826086956522,0.8478260869565217,0.9347826086956522,1.0,0.391304347826087,1.0,0.9347826086956522,0.9347826086956522,0.9347826086956522
AMD,43,0.9302325581395349,1.0,0.9302325581395349,1.0,0.3023255813953488,1.0,0.9302325581395349,0.9302325581395349,0.0
AMZN,53,0.9433962264150944,1.0,0.9433962264150944,1.0,1.0,1.0,0.9433962264150944,0.9433962264150944,0.0
AVGO,19,0.9473684210526315,1.0,0.9473684210526315,1.0,0.3157894736842105,1.0,1.0,0.9473684210526315,0.9473684210526315
CAT,53,0.9433962264150944,1.0,0.9433962264150944,1.0,0.18867924528301888,1.0,1.0,0.9433962264150944,0.9433962264150944
COST,53,0.9433962264150944,1.0,0.9433962264150944,1.0,0.2830188679245283,1.0,0.9433962264150944,0.9433962264150944,0.9433962264150944
CSCO,51,0.9411764705882353,0.9803921568627451,0.9411764705882353,1.0,0.29411764705882354,1.0,1.0,0.9411764705882353,0.9411764705882353
CVX,54,0.9444444444444444,1.0,0.9444444444444444,1.0,0.3333333333333333,0.0,0.9444444444444444,0.9444444444444444,0.9444444444444444
GE,53,0.2830188679245283,1.0,0.2830188679245283,1.0,0.32075471698113206,0.24528301886792453,0.9433962264150944,0.9433962264150944,0.9433962264150944
GOOGL,34,0.9117647058823529,0.9411764705882353,0.9117647058823529,1.0,0.3235294117647059,1.0,0.9117647058823529,0.9117647058823529,0.8823529411764706
HD,30,0.9,1.0,0.9,1.0,0.4,1.0,0.9,0.9,0.9
JNJ,28,0.8928571428571429,1.0,0.8928571428571429,1.0,0.2857142857142857,0.2857142857142857,0.8928571428571429,0.8928571428571429,0.8928571428571429
KO,35,0.9428571428571428,0.9714285714285714,0.9428571428571428,1.0,0.2571428571428571,1.0,0.9428571428571428,0.9428571428571428,0.0
LLY,53,0.9433962264150944,0.7735849056603774,0.9433962264150944,1.0,0.32075471698113206,0.0,0.9433962264150944,0.9433962264150944,0.0
MA,53,0.9433962264150944,1.0,0.9433962264150944,1.0,0.32075471698113206,1.0,0.9433962264150944,0.9433962264150944,0.9433962264150944
META,44,0.9318181818181818,1.0,0.9318181818181818,1.0,0.3181818181818182,1.0,0.9318181818181818,0.9318181818181818,0.9318181818181818
MRK,53,0.9433962264150944,1.0,0.9433962264150944,1.0,0.32075471698113206,0.0,0.9433962264150944,0.9433962264150944,0.0
MSFT,52,0.9615384615384616,0.6730769230769231,0.9615384615384616,0.6730769230769231,0.5384615384615384,0.6730769230769231,1.0,0.9615384615384616,0.9038461538461539
MU,28,0.8928571428571429,1.0,0.8928571428571429,1.0,0.2857142857142857,1.0,0.9642857142857143,0.8928571428571429,0.8928571428571429
NFLX,53,0.9433962264150944,1.0,0.9433962264150944,1.0,1.0,1.0,0.9433962264150944,0.9433962264150944,0.9433962264150944
NVDA,46,0.9347826086956522,1.0,0.9347826086956522,1.0,0.2826086956521739,1.0,0.9347826086956522,0.9347826086956522,0.5652173913043478
ORCL,54,0.9444444444444444,1.0,0.9444444444444444,0.8333333333333334,0.25925925925925924,1.0,0.9444444444444444,0.9444444444444444,0.0
PG,53,0.9433962264150944,1.0,0.9433962264150944,1.0,0.33962264150943394,1.0,0.9433962264150944,0.9433962264150944,0.9433962264150944
PLTR,20,0.8,0.95,0.8,0.95,0.3,0.95,1.0,0.8,0.8
TSLA,47,0.9361702127659575,0.6808510638297872,0.9361702127659575,1.0,0.2553191489361702,1.0,0.9361702127659575,0.9361702127659575,0.9361702127659575
V,53,0.9433962264150944,0.0,0.9433962264150944,1.0,0.33962264150943394,1.0,0.9433962264150944,0.9433962264150944,0.9433962264150944
WMT,53,1.0,1.0,1.0,1.0,0.32075471698113206,1.0,1.0,1.0,0.0
XOM,53,0.9433962264150944,1.0,0.9433962264150944,1.0,0.2641509433962264,0.0,0.9433962264150944,0.9433962264150944,0.9433962264150944
