ticker,metric,locked_tag
A,stockholders_equity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest
AA,stockholders_equity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest
AAPL,stockholders_equity,StockholdersEquity
ABBV,stockholders_equity,StockholdersEquity
ABNB,stockholders_equity,StockholdersEquity
ABT,stockholders_equity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest
ACI,stockholders_equity,StockholdersEquity
ACM,stockholders_equity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest
ACN,stockholders_equity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest
ADBE,stockholders_equity,StockholdersEquity
ADI,stockholders_equity,StockholdersEquity
ADM,stockholders_equity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest
ADP,stockholders_equity,StockholdersEquity
ADSK,stockholders_equity,StockholdersEquity
AEE,stockholders_equity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest
AEIS,stockholders_equity,StockholdersEquity
AEP,stockholders_equity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest
AES,stockholders_equity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest
AIT,stockholders_equity,StockholdersEquity
AKAM,stockholders_equity,StockholdersEquity
ALB,stockholders_equity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest
ALGN,stockholders_equity,StockholdersEquity
ALLE,stockholders_equity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest
ALNY,stockholders_equity,StockholdersEquity
ALSN,stockholders_equity,StockholdersEquity
AM,stockholders_equity,StockholdersEquity
AMAT,stockholders_equity,StockholdersEquity
AMCR,stockholders_equity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest
AMD,stockholders_equity,StockholdersEquity
AME,stockholders_equity,StockholdersEquity
AMGN,stockholders_equity,StockholdersEquity
AMKR,stockholders_equity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest
AMZN,stockholders_equity,StockholdersEquity
ANET,stockholders_equity,StockholdersEquity
AOS,stockholders_equity,StockholdersEquity
APA,stockholders_equity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest
APD,stockholders_equity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest
APG,stockholders_equity,StockholdersEquity
APH,stockholders_equity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest
APP,stockholders_equity,StockholdersEquity
APTV,stockholders_equity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest
AR,stockholders_equity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest
ARMK,stockholders_equity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest
ASTS,stockholders_equity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest
ATI,stockholders_equity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest
ATO,stockholders_equity,StockholdersEquity
AVAV,stockholders_equity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest
AVGO,stockholders_equity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest
