ticker,form,filing_date,total_words,mda_words,risk_words,mda_found,risk_found,risk_boilerplate
AAPL,10-K,2025-10-31,32213,2771,14956,True,True,False
AAPL,10-K,2024-11-01,31879,2721,14949,True,True,False
AAPL,10-K,2023-11-03,31484,2625,14756,True,True,False
AAPL,10-Q,2026-01-30,9509,2736,62,True,False,True
AAPL,10-Q,2025-08-01,10328,3156,167,True,False,True
AAPL,10-Q,2025-05-02,11968,3329,1788,True,True,False
AAPL,10-Q,2025-01-31,10269,2481,1314,True,True,False
AAPL,10-Q,2024-08-02,10081,2826,159,True,False,True
AAPL,10-Q,2024-05-03,10122,2721,689,True,True,False
AMZN,10-K,2026-02-06,44517,9478,30049,True,True,False
AMZN,10-K,2025-02-07,43952,9301,29767,True,True,False
AMZN,10-Q,2025-08-01,27453,6226,122,True,False,False
AMZN,10-Q,2025-05-02,25577,5458,122,True,False,False
AMZN,10-Q,2024-11-01,28511,6650,122,True,False,False
AMZN,10-Q,2024-08-02,27438,6543,122,True,False,False
AMZN,10-Q,2024-05-01,25550,5876,122,True,False,False
AVGO,10-K,2025-12-18,57307,21322,31595,True,True,False
AVGO,10-K,2024-12-20,59612,22571,21721,True,True,False
AVGO,10-K,2023-12-14,60191,24676,24498,True,True,False
AVGO,10-Q,2026-03-11,28464,3600,13876,True,True,False
AVGO,10-Q,2025-09-10,31800,4777,13800,True,True,False
AVGO,10-Q,2025-06-11,30934,4780,13320,True,True,False
AVGO,10-Q,2025-03-12,28638,3904,13032,True,True,False
AVGO,10-Q,2024-09-11,36936,4805,16756,True,True,False
AVGO,10-Q,2024-06-13,36462,4815,16645,True,True,False
GOOGL,10-K,2026-02-05,54978,11067,33686,True,True,False
GOOGL,10-K,2025-02-05,55649,11009,33557,True,True,False
GOOGL,10-K,2024-01-31,54159,10047,32949,True,True,False
GOOGL,10-Q,2025-10-30,26722,8112,93,True,False,True
GOOGL,10-Q,2025-07-24,26585,8127,93,True,False,True
GOOGL,10-Q,2025-04-25,22576,7151,93,True,False,True
GOOGL,10-Q,2024-10-30,26222,8278,883,True,True,False
GOOGL,10-Q,2024-07-24,25159,8081,391,True,True,False
GOOGL,10-Q,2024-04-26,22115,7103,738,True,True,False
JNJ,10-K,2026-02-11,69408,9905,11279,True,True,False
JNJ,10-K,2025-02-13,69840,10215,10649,True,True,False
JNJ,10-K,2024-02-16,69123,9830,10895,True,True,False
JNJ,10-Q,2025-10-22,36174,7770,0,True,False,True
JNJ,10-Q,2025-07-24,35627,7695,0,True,False,True
JNJ,10-Q,2025-04-23,29397,5378,0,True,False,True
JNJ,10-Q,2024-10-23,37650,7697,0,True,False,True
JNJ,10-Q,2024-07-25,36576,7479,0,True,False,True
JNJ,10-Q,2024-05-01,29233,5176,0,True,False,True
LLY,10-K,2026-02-12,56886,7176,27864,True,True,False
LLY,10-K,2025-02-19,65676,8442,36708,True,True,False
LLY,10-K,2024-02-21,66419,9435,38769,True,True,False
LLY,10-Q,2025-10-30,22711,4785,54,True,False,True
LLY,10-Q,2025-08-07,22330,4725,54,True,False,True
LLY,10-Q,2025-05-01,18588,3687,54,True,False,True
LLY,10-Q,2024-10-30,26196,6310,54,True,False,True
