ticker,company_name,quarter_end,filing_date,fiscal_year,fiscal_quarter,accession_number,net_income,total_assets,total_liabilities,log_total_assets,leverage,roa,asset_growth,return_next_q
AVAV,AeroVironment Inc,2011-07-30,2011-09-08,2012,Q1,0001104659-11-050628,326000.0,301472000.0,36271000.0,19.52418770083053,0.12031299755864558,0.0010813607897250822,,0.11356659310599787
AVAV,AeroVironment Inc,2011-10-29,2011-12-07,2012,Q2,0001104659-11-067920,6587000.0,322939000.0,50191000.0,19.592974008862512,0.15541944453906156,0.020397040927233937,0.07120727629763295,-0.04467882582236924
AVAV,AeroVironment Inc,2012-01-28,2012-03-07,2012,Q3,0001104659-12-015981,5744000.0,324545000.0,44727000.0,19.597934759378383,0.13781447873176292,0.017698624227765025,0.004973075410526447,-0.12233624488672444
AVAV,AeroVironment Inc,2012-07-28,2012-09-06,2013,Q1,0001104659-12-061759,-1386000.0,340488000.0,41284000.0,19.645890440642066,0.1212495007166185,-0.004070628039754705,0.04912415843719669,-0.06993311881849235
AVAV,AeroVironment Inc,2012-10-27,2012-12-05,2013,Q2,0001104659-12-081922,8738000.0,356306000.0,46069000.0,19.691300470176067,0.1292961667779942,0.02452386431887198,0.046456850167994175,-0.0013420125467495493
AVAV,AeroVironment Inc,2013-01-26,2013-03-06,2013,Q3,0001104659-13-017621,3869000.0,358790000.0,43695000.0,19.698247817080475,0.12178433066696397,0.01078346665180189,0.006971535702458,0.04474899047305412
AVAV,AeroVironment Inc,2013-07-27,2013-08-28,2014,Q1,0001104659-13-066396,-7210000.0,351559000.0,42760000.0,19.677888107192,0.12162965533523534,-0.020508648619435143,-0.02015385044176259,0.2144338856864225
AVAV,AeroVironment Inc,2013-10-26,2013-11-27,2014,Q2,0001104659-13-087280,1655000.0,350816000.0,39134000.0,19.675772427456405,0.1115513545562346,0.004717572744686673,-0.002113443262724038,-0.011668756597108627
AVAV,AeroVironment Inc,2014-01-25,2014-03-05,2014,Q3,0001104659-14-016020,11216000.0,366881000.0,42223000.0,19.720548102757025,0.11508636315317501,0.03057122064102529,0.04579323634041777,-0.08368356846290026
AVAV,AeroVironment Inc,2015-01-31,2015-03-04,2015,Q3,0001104659-15-016318,2325000.0,386471000.0,45641000.0,19.772567390835157,0.11809683003381884,0.006015975325444858,0.053396060302932015,0.026688898760917436
AVAV,AeroVironment Inc,2015-10-31,2015-12-09,2016,Q2,0001104659-15-083670,4419000.0,380029000.0,33302000.0,19.755758123562277,0.08763015454083767,0.011628059963844865,-0.016668779804953023,-0.17675049043334115
AVAV,AeroVironment Inc,2016-01-30,2016-03-09,2016,Q3,0001104659-16-103402,6164000.0,389491000.0,34920000.0,19.78035131646126,0.08965547342557338,0.015825782880734086,0.024898099881851123,0.03509135651363814
AVAV,AeroVironment Inc,2016-07-30,2016-08-31,2017,Q1,0001558370-16-008143,-11642000.0,389534000.0,38054000.0,19.780461710864635,0.09769108729918313,-0.02988699317646213,0.00011040049705898211,-0.0339987660994778
AVAV,AeroVironment Inc,2016-10-29,2016-12-07,2017,Q2,0001558370-16-010418,-4172000.0,389898000.0,41751000.0,19.78139572441928,0.10708185217672314,-0.010700234420284279,0.0009344498811400288,-0.0897852892626373
AVAV,AeroVironment Inc,2017-01-28,2017-03-08,2017,Q3,0001558370-17-001434,-2183000.0,387456000.0,40210000.0,19.775112851923474,0.10377952593326727,-0.005634188140072679,-0.006263176523090655,0.10902216119919095
AVAV,AeroVironment Inc,2017-07-29,2017-08-30,2018,Q1,0001558370-17-006847,-4466000.0,420739000.0,40017000.0,19.857523246902584,0.09511122097072057,-0.010614656592329212,0.08590136686488273,0.024121711220606603
AVAV,AeroVironment Inc,2017-10-28,2017-12-06,2018,Q2,0001558370-17-009190,6812000.0,429263000.0,39862000.0,19.877580342664746,0.09286148584900165,0.01586905929465153,0.020259590862743888,-0.14847750548548658
AVAV,AeroVironment Inc,2018-01-27,2018-03-07,2018,Q3,0001558370-18-001580,-837000.0,432845000.0,42457000.0,19.885890254213606,0.09808823019787684,-0.0019337176125402858,0.00834453470250173,0.23592116534162189
AVAV,AeroVironment Inc,2018-07-28,2018-09-06,2019,Q1,0001558370-18-007382,27316000.0,480361000.0,43311000.0,19.990048462526595,0.09016343957981601,0.05686556568913796,0.10977601681895367,-0.03539430948106101
AVAV,AeroVironment Inc,2018-10-27,2018-11-30,2019,Q2,0001558370-18-009506,6050000.0,486567000.0,42393000.0,20.002885168504736,0.08712674719000672,0.01243405327529405,0.01291945016352285,0.019586019228878104
AVAV,AeroVironment Inc,2019-01-26,2019-03-06,2019,Q3,0001558370-19-001518,8350000.0,498963000.0,43397000.0,20.02804250267008,0.08697438487422915,0.0167347077839439,0.025476450314139677,-0.1782886128250467
AVAV,AeroVironment Inc,2019-07-27,2019-09-05,2020,Q1,0001558370-19-008481,17099000.0,534582000.0,53076000.0,20.096995691068575,0.09928504887931132,0.031985738389994425,0.07138605467740093,0.07842536839973095
AVAV,AeroVironment Inc,2019-10-26,2019-12-04,2020,Q2,0001558370-19-011303,7505000.0,544493000.0,54133000.0,20.115365644423616,0.09941909262378029,0.013783464617543293,0.01853971888316479,0.08139568321517031
AVAV,AeroVironment Inc,2020-01-25,2020-03-04,2020,Q3,0001558370-20-001981,-1028000.0,559080000.0,68339000.0,20.14180313358098,0.12223474279172927,-0.001838735064749231,0.026790059743651434,0.0019604471225868887
AVAV,AeroVironment Inc,2020-10-31,2020-12-09,2021,Q2,0001558370-20-014262,2072000.0,588007000.0,64101000.0,20.192249410553945,0.10901400833663545,0.0035237675741955454,0.05174035916147957,0.487358079543801
AVAV,AeroVironment Inc,2021-01-30,2021-03-10,2021,Q3,0001558370-21-002653,258000.0,590992000.0,65802000.0,20.197313038899736,0.11134160868505834,0.00043655413271245633,0.005076470178076112,-0.12595242286429817
AVAV,AeroVironment Inc,2021-07-31,2021-09-09,2022,Q1,0001558370-21-012327,-13918000.0,908553000.0,310313000.0,20.62736378201856,0.3415463930007385,-0.015318864171930532,0.537335530768606,0.006352641369425594
AVAV,AeroVironment Inc,2021-10-30,2021-12-08,2022,Q2,0001558370-21-016596,2556000.0,925307000.0,325405000.0,20.64563613230466,0.35167247194714835,0.0027623264494918984,0.018440311132096862,-0.03681989901575255
AVAV,AeroVironment Inc,2022-01-29,2022-03-04,2022,Q3,0001558370-22-002839,-35000.0,905263000.0,302835000.0,20.623736067180758,0.33452709323146973,-3.86627974411856e-05,-0.021661999747110958,0.004935254059692259
AVAV,AeroVironment Inc,2022-07-30,2022-09-08,2023,Q1,0001558370-22-014256,-8389000.0,896654000.0,296731000.0,20.61418061539822,0.3309314406671916,-0.009355894246833227,-0.009509943519176195,-0.07352360757495398
AVAV,AeroVironment Inc,2022-10-29,2022-12-07,2023,Q2,0001558370-22-018418,-6629000.0,891682000.0,284199000.0,20.6086201247401,0.3187223696340175,-0.007434264681803603,-0.005545059744338396,0.07175702642571065
AVAV,AeroVironment Inc,2023-01-28,2023-03-06,2023,Q3,0001558370-23-002924,-676000.0,921202000.0,299689000.0,20.641189896989644,0.325323870334628,-0.0007338238518804779,0.03310597275710399,0.12239711034111543
AVAV,AeroVironment Inc,2023-07-29,2023-09-06,2024,Q1,0001558370-23-015470,21895000.0,826060000.0,251515000.0,20.532177968072332,0.3044754618308597,0.026505338595259425,-0.10328027946096513,0.06902805966744827
AVAV,AeroVironment Inc,2023-10-28,2023-12-06,2024,Q2,0001558370-23-019483,17840000.0,1006700000.0,432155000.0,20.72994349169965,0.4292788318267607,0.01772126750769842,0.21867660944725564,0.0032002709168712498
AVAV,AeroVironment Inc,2024-01-27,2024-03-05,2024,Q3,0001558370-24-002395,13885000.0,980299000.0,186569000.0,20.703368185135545,0.19031846406045502,0.014164045867638343,-0.026225290553292938,0.0529438905055706
AVAV,AeroVironment Inc,2024-07-27,2024-09-05,2025,Q1,0001558370-24-012587,21166000.0,999169000.0,153631000.0,20.722434491474505,0.1537587735408124,0.021183603574570466,0.01924922906174545,0.2307203349871073
AVAV,AeroVironment Inc,2024-10-26,2024-12-05,2025,Q2,0001558370-24-016018,7543000.0,1019085000.0,173547000.0,20.742171002821006,0.17029688396944317,0.007401737833448633,0.019932563960651302,0.09795876820412362
AVAV,AeroVironment Inc,2025-01-25,2025-03-05,2025,Q3,0001558370-25-002198,-1754000.0,1048143000.0,189746000.0,20.770285863918435,0.18103064181127956,-0.0016734357811863457,0.02851381386243542,0.22349110025894794
BAH,Booz Allen Hamilton Holding Corp,2011-06-30,2011-08-10,2012,Q1,0000950123-11-075542,51136000.0,3027569000.0,2053407000.0,21.831025824213558,0.6782362350783747,0.016890118771859534,,0.06123080600486895
BAH,Booz Allen Hamilton Holding Corp,2011-09-30,2011-11-03,2012,Q2,0001193125-11-294991,75332000.0,3136169000.0,2065391000.0,21.866267828288663,0.6585713333688331,0.024020389207341824,0.03587036331789631,0.045544396740117815
BAH,Booz Allen Hamilton Holding Corp,2011-12-31,2012-02-03,2012,Q3,0001193125-12-038532,62860000.0,3207349000.0,2065079000.0,21.888710576183,0.6438585261535306,0.01959874026805315,0.022696480961325746,-0.029245346360456587
BAH,Booz Allen Hamilton Holding Corp,2012-06-30,2012-08-30,2013,Q1,0001445305-12-002790,61945000.0,3207349000.0,2065079000.0,21.888710576183,0.6438585261535306,0.019313457936757115,,0.16006614544124484
