ticker,company_name,quarter_end,filing_date,fiscal_year,fiscal_quarter,accession_number,form,total_assets,assets_current,cash,accounts_receivable_net,inventory_net,prepaid_expense_current,ppe_net,other_assets_noncurrent,liabilities_current,stockholders_equity,net_income,goodwill,intangibles_net,total_liabilities,assets_noncurrent,liabilities_noncurrent,marketable_securities
AVAV,AeroVironment Inc,2011-07-30,2011-09-08,2012,Q1,0001104659-11-050628,10-Q,301472000.0,267243000.0,81247000.0,22034000.0,38299000.0,2176000.0,18134000.0,181000.0,29832000.0,265201000.0,326000.0,,,,,,
AVAV,AeroVironment Inc,2011-10-29,2011-12-07,2012,Q2,0001104659-11-067920,10-Q,322939000.0,271623000.0,98589000.0,25571000.0,41435000.0,2974000.0,18841000.0,186000.0,43887000.0,272748000.0,6587000.0,,,,,,
AVAV,AeroVironment Inc,2012-01-28,2012-03-07,2012,Q3,0001104659-12-015981,10-Q,324545000.0,257207000.0,65865000.0,24213000.0,48447000.0,2793000.0,20936000.0,201000.0,38866000.0,279818000.0,5744000.0,,,,,,
AVAV,AeroVironment Inc,2012-07-28,2012-09-06,2013,Q1,0001104659-12-061759,10-Q,340488000.0,254985000.0,53210000.0,49880000.0,44505000.0,3568000.0,23131000.0,230000.0,36282000.0,299204000.0,-1386000.0,,,,,,
AVAV,AeroVironment Inc,2012-10-27,2012-12-05,2013,Q2,0001104659-12-081922,10-Q,356306000.0,263950000.0,70770000.0,48330000.0,44747000.0,4837000.0,22137000.0,230000.0,41134000.0,310237000.0,8738000.0,,,,,,
AVAV,AeroVironment Inc,2013-01-26,2013-03-06,2013,Q3,0001104659-13-017621,10-Q,358790000.0,266809000.0,63975000.0,31600000.0,63597000.0,4283000.0,21714000.0,4159000.0,38827000.0,315095000.0,3869000.0,,,,,,
AVAV,AeroVironment Inc,2013-07-27,2013-08-28,2014,Q1,0001104659-13-066396,10-Q,351559000.0,250565000.0,64339000.0,19604000.0,68663000.0,3765000.0,26725000.0,1036000.0,36853000.0,308799000.0,-7210000.0,,,,,,
AVAV,AeroVironment Inc,2013-10-26,2013-11-27,2014,Q2,0001104659-13-087280,10-Q,350816000.0,265763000.0,66126000.0,36238000.0,60629000.0,4317000.0,26039000.0,1720000.0,33309000.0,311682000.0,1655000.0,,,,,,
AVAV,AeroVironment Inc,2014-01-25,2014-03-05,2014,Q3,0001104659-14-016020,10-Q,366881000.0,289379000.0,92749000.0,42617000.0,55441000.0,3755000.0,24492000.0,1585000.0,35981000.0,324658000.0,11216000.0,,,,,,
AVAV,AeroVironment Inc,2015-01-31,2015-03-04,2015,Q3,0001104659-15-016318,10-Q,386471000.0,309896000.0,125977000.0,37834000.0,48799000.0,4203000.0,16143000.0,1219000.0,43660000.0,340830000.0,2325000.0,,,,,,
AVAV,AeroVironment Inc,2015-10-31,2015-12-09,2016,Q2,0001104659-15-083670,10-Q,380029000.0,321320000.0,128032000.0,42746000.0,48336000.0,4555000.0,13579000.0,690000.0,31597000.0,346727000.0,4419000.0,,,,,,
AVAV,AeroVironment Inc,2016-01-30,2016-03-09,2016,Q3,0001104659-16-103402,10-Q,389491000.0,329630000.0,122706000.0,38991000.0,46434000.0,4219000.0,14313000.0,653000.0,32870000.0,354571000.0,6164000.0,,,,,,
AVAV,AeroVironment Inc,2016-07-30,2016-08-31,2017,Q1,0001558370-16-008143,10-Q,389534000.0,323765000.0,122313000.0,32635000.0,44105000.0,4167000.0,16910000.0,658000.0,35587000.0,351480000.0,-11642000.0,,,,,,
AVAV,AeroVironment Inc,2016-10-29,2016-12-07,2017,Q2,0001558370-16-010418,10-Q,389898000.0,313887000.0,88876000.0,26102000.0,55168000.0,4706000.0,17445000.0,598000.0,39400000.0,348147000.0,-4172000.0,,,,,,
AVAV,AeroVironment Inc,2017-01-28,2017-03-08,2017,Q3,0001558370-17-001434,10-Q,387456000.0,308948000.0,73278000.0,23121000.0,68806000.0,5341000.0,18410000.0,570000.0,37968000.0,347246000.0,-2183000.0,,,,,,
AVAV,AeroVironment Inc,2017-07-29,2017-08-30,2018,Q1,0001558370-17-006847,10-Q,420739000.0,346994000.0,117473000.0,30685000.0,72017000.0,5266000.0,20317000.0,1938000.0,37697000.0,380722000.0,-4466000.0,122000.0,,,,,
AVAV,AeroVironment Inc,2017-10-28,2017-12-06,2018,Q2,0001558370-17-009190,10-Q,429263000.0,357674000.0,117109000.0,35106000.0,76039000.0,5175000.0,21614000.0,838000.0,37851000.0,389401000.0,6812000.0,,,,,,
AVAV,AeroVironment Inc,2018-01-27,2018-03-07,2018,Q3,0001558370-18-001580,10-Q,432845000.0,355255000.0,112304000.0,25690000.0,77327000.0,5138000.0,21626000.0,2305000.0,40545000.0,390388000.0,-837000.0,,,,,,
AVAV,AeroVironment Inc,2018-07-28,2018-09-06,2019,Q1,0001558370-18-007382,10-Q,480361000.0,410203000.0,170788000.0,13802000.0,42244000.0,5196000.0,19347000.0,2299000.0,40752000.0,437050000.0,27316000.0,,,,,,
AVAV,AeroVironment Inc,2018-10-27,2018-11-30,2019,Q2,0001558370-18-009506,10-Q,486567000.0,421912000.0,151255000.0,34639000.0,46096000.0,5732000.0,20460000.0,1628000.0,39491000.0,444174000.0,6050000.0,,,,,,
AVAV,AeroVironment Inc,2019-01-26,2019-03-06,2019,Q3,0001558370-19-001518,10-Q,498963000.0,436875000.0,149369000.0,34064000.0,50379000.0,6616000.0,20542000.0,884000.0,41786000.0,455566000.0,8350000.0,,,,,,
AVAV,AeroVironment Inc,2019-07-27,2019-09-05,2020,Q1,0001558370-19-008481,10-Q,534582000.0,455329000.0,137094000.0,42724000.0,56336000.0,7606000.0,17747000.0,14196000.0,43108000.0,481506000.0,17099000.0,8080000.0,16727000.0,,,,
AVAV,AeroVironment Inc,2019-10-26,2019-12-04,2020,Q2,0001558370-19-011303,10-Q,544493000.0,456152000.0,130742000.0,40564000.0,52769000.0,8045000.0,20571000.0,13339000.0,44791000.0,490360000.0,7505000.0,8080000.0,15952000.0,,,,
